latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
40.63617,-74.2268,295.57,0.34,0.56,2026-03-01,0609,N20,nominal,2.0NRT,276.05,1.04,N
40.63594,-74.22276,299.14,0.34,0.56,2026-03-01,0609,N20,nominal,2.0NRT,279.49,1.77,N
39.94313,-76.81786,312.52,0.46,0.63,2026-03-01,0609,N20,nominal,2.0NRT,275.58,1.81,N
39.59225,-75.63779,300.63,0.39,0.59,2026-03-01,0609,N20,nominal,2.0NRT,276.21,1.22,N
39.58675,-75.63825,297.74,0.39,0.59,2026-03-01,0609,N20,nominal,2.0NRT,277.32,1.31,N
39.08508,-78.08288,303.09,0.53,0.67,2026-03-01,0609,N20,nominal,2.0NRT,273.54,0.98,N
37.34672,-77.73196,301.79,0.49,0.65,2026-03-01,0609,N20,nominal,2.0NRT,276.08,0.87,N
37.34536,-77.73227,297,0.49,0.65,2026-03-01,0609,N20,nominal,2.0NRT,276.09,1.05,N
32.49068,-81.33115,295.54,0.73,0.76,2026-03-01,0612,N20,nominal,2.0NRT,280.18,1.18,N
29.16463,-82.25702,296.89,0.78,0.78,2026-03-01,0612,N20,nominal,2.0NRT,283.34,0.93,N
26.2817,-80.15779,301.22,0.55,0.68,2026-03-01,0614,N20,nominal,2.0NRT,287.85,0.69,N
26.03227,-77.2426,300.7,0.36,0.57,2026-03-01,0614,N20,nominal,2.0NRT,288.5,0.77,N
26.032,-77.23186,298.81,0.36,0.57,2026-03-01,0614,N20,nominal,2.0NRT,288.34,0.73,N
25.86239,-80.34868,299.33,0.56,0.69,2026-03-01,0614,N20,nominal,2.0NRT,288.29,0.31,N
25.85985,-80.348,300.32,0.56,0.69,2026-03-01,0614,N20,nominal,2.0NRT,288.58,0.42,N
24.95054,-76.16528,315.28,0.6,0.53,2026-03-01,0614,N20,nominal,2.0NRT,289.15,3.24,N
22.69722,-80.99799,309.27,0.57,0.69,2026-03-01,0614,N20,nominal,2.0NRT,286.51,1.4,N
